ID	Name	Desc	EndDesc
	名字	描述	结束描述
1	法宝出土	[TXT]近日夜里隐现宝光，听说有失落的法宝出土。	[TXT]的法宝已经被人夺走了。
2	法宝出土	[TXT]近日常有精光直冲云霄，听说有珍贵的法宝即将出土。	[TXT]的法宝已经被人夺走了。
3	法宝出土	[TXT]近日风云汇聚，天地异变，听说有前古至宝即将出土。	[TXT]的法宝已经被人夺走了。
4	法宝出土	[TXT]近日风云汇聚，天地异变，听说有前古至宝即将出土。据说受封印影响，四周陷入严寒绝地（-150℃），无法靠近。	[TXT]的法宝已经被人夺走了。
5	法宝出土	[TXT]近日风云汇聚，天地异变，听说有前古至宝即将出土。据说受封印影响，四周化为炎狱绝地（500℃），无法靠近。	[TXT]的法宝已经被人夺走了。
6	洞府现世	听说[TXT]有前古不知名散仙的洞府现世。	[TXT]的仙人洞府已经现世，其中的秘宝被慕名而来的修行者瓜分。
7	洞府现世	听说[TXT]有前古不知名散仙的洞府现世。洞府有禁法守护，其内严寒笼罩（-150℃），无力抵抗者入内必死。	[TXT]的仙人洞府已经现世，其中的秘宝被慕名而来的修行者瓜分。
8	洞府现世	听说[TXT]有前古不知名散仙的洞府现世。洞府有禁法守护，其内真火遍布（500℃），无力抵抗者入内必死。	[TXT]的仙人洞府已经现世，其中的秘宝被慕名而来的修行者瓜分。
9	洞府现世	听说[TXT]有前古不知名散仙的洞府现世。洞府主人为炼器宗师，其中利用炼器之术设立无数机关禁法，如果不精炼器之道，寸步难行。	[TXT]的仙人洞府已经现世，其中的秘宝被慕名而来的修行者瓜分。
10	洞府现世	听说[TXT]有前古不知名散仙的洞府现世。洞府主人为炼丹宗师，其中利用炼丹之术设立无数机关禁法，如果不精炼丹之道，寸步难行。	[TXT]的仙人洞府已经现世，其中的秘宝被慕名而来的修行者瓜分。
11	古书踪迹	听说有名凡人从一座古墓中发掘出一本早已失传的奇书。但是此书随后流入[TXT]，不知所踪。	[TXT]出土的奇书被某位修行者捷足先登。
